@relation twitter

@attribute tweetMsg string  
@attribute class{positivo,negativo,neutral}

@data

"Por primera vez acabo de ver un capítulo de  y es lo más naco, corriente hecho por y para gatos.",negativo
"Si alguien encuentra mi sueño, dígale que regrese. Diasssss !!!",neutral
"Bonita noche guapos.",positivo
"No estén con sus mamadas de no me van a felicitar por el día del papacito créanme que pierden el poco encanto que puedan tener.",negativo
"I'm at Cenaduria Lolita in Guadalajara, JAL",neutral 
"I'm at IMEPLAN in Verde Valle, Jalisco",neutral 
"Siempre innovadores en mindmexico tenemos lluvia interna @ MIND -…",neutral 
"Casa Musa GDL",neutral 
"Pasan rapidísimo los minutos cuando la plática fluye sabrosa, y con un tema como el de los…",positivo 
"El cacheton (@ Kinder Federico Froebel)",neutral 
"Recogiendo a la cachetona (@ Centro Educativo Maria C. Bancalari)",positivo 
"I'm at Atras De Ti in Guadalajara, Jalisco ",neutral
"Comité de Productividad del Estado de Jalisco. MIND",neutral 
"Enpezandole con todo buena semana people (@ Startfit Gimnasio in Peninsula, jalisco)",positivo 
"Tengo un sueño...",neutral 
"Aun falta!! @ Snap Fitness Topacio",positivo
"Ps llegando a penas!!! (@ Snap Fitness 24/7 Topacio in Guadalajara, Jalisco w/ )",positivo 
"HER MO SO !!",positivo 
"¿Y esta J quién es y porque me bloqueo?",negativo 
"Del baúl, en ese viaje interminable por carretera que desembocó en…",positivo 
"Porque no tenemos llenadera (@ Wingman Lapizlasuli w/ )",positivo 
"Spinner as a belated birthday present, courtesy of Sebas (at  in Zapopan, JAL)",positivo  
"Tengo flojera de salir...",negativo 
"El que es amigo debe mostrarse amigo  10 Mixta",negativo 
"Derrochando talento campusero",positivo   
"4 cajas y solamente 1 funcionando... SIEEEMPRE ES LO MISMO EN ESTE BANCO! Y como siempre, LENISSIMO!",negativo 
"Porqué me dejan venir T_T ( in Zapopan, JAL)",negativo 
"Pasele pasele... Café  , búscame frente al stand de .com y el…",neutral 
"De verdad que en lo único que pienso cuando llueve así, es en los pobres animales de la calle.",negativo
"Deossss !!!",negativo
"Escuchando a  y feliz de colaborar con  y   en el proyecto  Ver la luz en lo…",positivo 
"Carne en su jugo... Me siento vulgar diciendo esto( Garibaldi -  in Zapopan, JAL)",neutral 
"Que paso, rey ! Unos chilakillers? 🙌❤️🙌 ( Cabaña De Alemán in Guadalajara, JAL)",neutral 
"Increíble te atienden en menos de 15 segundos!! ( Garibaldi -  in Zapopan, JAL w/ )",positivo 
"Wiiii ( Garibaldi -  in Zapopan, JAL)",positivo 
